sampno,perno,wtperfin
50006122,1,90.8072
50006122,2,90.8072
50006190,1,132.3625
50006190,2,132.3625
50006233,1,147.142
50006256,1,262.051
50006256,2,262.051
50006256,3,262.051
50006289,1,133.7435
50006292,1,97.884
50006292,2,97.884
50006455,1,285.1644
50006513,1,132.6335
50006620,1,116.6171
50006620,2,116.6171
50006701,1,142.8307
50006701,2,142.8307
50006872,1,261.9379
50006930,1,147.4164
50007016,1,118.0638
50007016,2,118.0638
50007095,1,114.8961
50007095,2,114.8961
50007243,1,464.1444
50007243,2,464.1444
50007243,3,464.1444
50007411,1,147.2441
50007411,2,147.2441
50007440,1,117.869
50007481,1,118.0638
50007481,2,118.0638
50007594,1,107.8045
50007594,2,107.8045
50007664,1,142.8307
50007664,2,142.8307
50007676,1,172.5433
50007744,1,107.0999
50007744,2,107.0999
50007764,1,163.9709
50007764,2,163.9709
50007789,1,128.624
50007812,1,250.5764
50007812,2,250.5764
50007812,3,250.5764
50007812,4,250.5764
50007980,1,100.6461
50007980,2,100.6461
50008031,1,312.2705
50008078,1,175.2743
50008078,2,175.2743
50008078,3,175.2743
50008096,1,514.3182
50008096,2,514.3182
50008096,3,514.3182
50008096,4,514.3182
50008096,5,514.3182
50008097,1,216.5742
50008097,2,216.5742
50008097,3,216.5742
50008132,1,132.0372
50008132,2,132.0372
50008171,1,126.7264
50008171,2,126.7264
50008216,1,311.7159
50008216,2,311.7159
50008216,3,311.7159
50008239,1,265.5545
50008389,1,444.154
50008389,2,444.154
50008389,3,444.154
50008392,1,376.3373
50008409,1,131.3278
50008409,2,131.3278
50008409,3,131.3278
50008424,1,432.0604
50008424,2,432.0604
50008424,3,432.0604
50008434,1,216.5742
50008434,2,216.5742
50008434,3,216.5742
50008446,1,253.8381
50008456,1,62.3955
50008456,2,62.3955
50008476,1,123.3147
50008476,2,123.3147
50008495,1,274.2396
50008495,2,274.2396
50008544,1,147.8876
50008544,2,147.8876
50008564,1,93.6982
50009052,1,130.9452
50009052,2,130.9452
50009052,3,130.9452
50009065,1,202.0811
50009065,2,202.0811
50009065,3,202.0811
50009065,4,202.0811
50009249,1,144.6026
50009249,2,144.6026
50009274,1,166.4261
50009332,1,294.9309
50009332,2,294.9309
50009332,3,294.9309
50009332,4,294.9309
50009356,1,91.2148
50009356,2,91.2148
50009412,1,254.9607
50009412,2,254.9607
50009488,1,272.3403
50009552,1,291.8691
50009557,1,84.9796
50009557,2,84.9796
50009621,1,200.8288
50009621,2,200.8288
50009654,1,172.9287
50009654,2,172.9287
50009716,1,171.0912
50009716,2,171.0912
50009780,1,219.0747
50009810,1,106.4834
50009810,2,106.4834
50009832,1,159.4823
50009832,2,159.4823
50009832,3,159.4823
50009836,1,179.3042
50009836,2,179.3042
50009838,1,592.6229
50009838,2,592.6229
50009838,3,592.6229
50009844,1,240.2724
50009844,2,240.2724
50009912,1,194.1456
50009912,2,194.1456
50009912,3,194.1456
50009912,4,194.1456
50009912,5,194.1456
50009962,1,247.198
50009975,1,250.1904
50009975,2,250.1904
50009975,3,250.1904
50010023,1,239.537
50010023,2,239.537
50010023,3,239.537
50010061,1,149.1393
50010061,2,149.1393
50010061,3,149.1393
50010086,1,119.8317
50010171,1,175.2743
50010171,2,175.2743
50010171,3,175.2743
50010271,1,142.8307
50010271,2,142.8307
50010303,1,401.0401
50010303,2,401.0401
50010303,3,401.0401
50010303,4,401.0401
50010361,1,105.4708
50010378,1,372.0331
50010378,2,372.0331
50010378,3,372.0331
50010380,1,109.6345
50010380,2,109.6345
50010470,1,233.4859
50010501,1,207.3522
50010501,2,207.3522
50010501,3,207.3522
50010506,1,118.0225
50010506,2,118.0225
50010610,1,118.0225
50010610,2,118.0225
50010651,1,146.2901
50010653,1,67.1693
50010653,2,67.1693
50010707,1,191.0992
50010707,2,191.0992
50010714,1,248.3029
50010714,2,248.3029
50010729,1,183.259
50010780,1,99.4129
50010780,2,99.4129
50010819,1,202.5285
50010819,2,202.5285
50010819,3,202.5285
50010823,1,206.6719
50010823,2,206.6719
50010823,3,206.6719
50010823,4,206.6719
50010832,1,250.7277
50010857,1,359.154
50010857,2,359.154
50010857,3,359.154
50010987,1,72.0804
50010987,2,72.0804
50011023,1,265.2579
50011023,2,265.2579
50011023,3,265.2579
50011023,4,265.2579
50011037,1,126.7264
50011037,2,126.7264
50011071,1,123.4652
50011267,1,211.0686
50011267,2,211.0686
50011267,3,211.0686
50011267,4,211.0686
50011267,5,211.0686
50011379,1,150.2489
50011471,1,213.3026
50011472,1,191.0992
50011472,2,191.0992
50011486,1,312.2705
50011487,1,160.0436
50011487,2,160.0436
50011487,3,160.0436
50011510,1,84.9796
50011510,2,84.9796
50011552,1,68.9981
50011630,1,180.1139
50011683,1,126.1161
50011683,2,126.1161
50011690,1,193.1782
50011690,2,193.1782
50011690,3,193.1782
50011728,1,147.4164
50011939,1,216.9083
50011939,2,216.9083
50011939,3,216.9083
50011939,4,216.9083
50011951,1,152.9076
50011951,2,152.9076
50012050,1,120.0061
50012050,2,120.0061
50012111,1,166.7223
50012111,2,166.7223
50012111,3,166.7223
50012134,1,309.5386
50012134,2,309.5386
50012134,3,309.5386
50012134,4,309.5386
50012205,1,225.2067
50012242,1,123.4652
50012245,1,109.4188
50012314,1,99.1324
50012320,1,112.5991
50012320,2,112.5991
50012361,1,126.1161
50012361,2,126.1161
50012453,1,193.0048
50012453,2,193.0048
50012506,1,278.9373
50012506,2,278.9373
50012506,3,278.9373
50012506,4,278.9373
50012511,1,261.7207
50012511,2,261.7207
50012511,3,261.7207
50012511,4,261.7207
50012590,1,188.1346
50012590,2,188.1346
50012590,3,188.1346
50012722,1,87.1611
50012748,1,160.064
50012750,1,150.9722
50012750,2,150.9722
50012750,3,150.9722
50012750,4,150.9722
50012750,5,150.9722
50012951,1,280.6569
50012951,2,280.6569
50012951,3,280.6569
50012951,4,280.6569
50013050,1,158.3633
50013148,1,128.624
50013191,1,117.869
50013208,1,85.0585
50013238,1,120.7459
50013238,2,120.7459
50013269,1,123.4652
50013284,1,118.0225
50013284,2,118.0225
50013397,1,550.9499
50013424,1,88.2424
50013485,1,159.2645
50013485,2,159.2645
50013569,1,84.732
50013569,2,84.732
50013576,1,158.3633
50013585,1,179.3959
50013619,1,181.0289
50013638,1,67.1693
50013638,2,67.1693
50013725,1,322.1777
50013820,1,126.1161
50013820,2,126.1161
50013870,1,339.0618
50013936,1,148.9674
50013967,1,180.1139
50013969,1,107.726
50014086,1,127.5517
50014132,1,213.2849
50014132,2,213.2849
50014156,1,176.3918
50014156,2,176.3918
50014156,3,176.3918
50014177,1,105.4708
50014184,1,235.2933
50014184,2,235.2933
50014184,3,235.2933
50014186,1,335.4592
50014209,1,118.3788
50014209,2,118.3788
50014310,1,117.869
50014340,1,188.6843
50014340,2,188.6843
50014340,3,188.6843
50014386,1,216.4204
50014396,1,132.3625
50014396,2,132.3625
50014446,1,249.3553
50014446,2,249.3553
50014446,3,249.3553
50014493,1,142.8307
50014493,2,142.8307
50014499,1,409.5699
50014499,2,409.5699
50014499,3,409.5699
50014527,1,75.034
50014527,2,75.034
50014576,1,323.3866
50014576,2,323.3866
50014576,3,323.3866
50014576,4,323.3866
50014608,1,105.4708
50014618,1,134.6201
50014656,1,88.2424
50014669,1,128.624
50014730,1,136.2902
50014781,1,489.0134
50014794,1,93.9291
50014808,1,119.8317
50014820,1,156.0269
50014820,2,156.0269
50014900,1,132.3625
50014900,2,132.3625
50014902,1,179.3042
50014902,2,179.3042
50014950,1,221.332
50014951,1,216.9083
50014951,2,216.9083
50014951,3,216.9083
50014951,4,216.9083
50014986,1,86.6175
50014992,1,366.0902
50014998,1,126.7264
50014998,2,126.7264
50015023,1,309.5386
50015023,2,309.5386
50015023,3,309.5386
